menu_item_id,quantity_sold,sales_date,store_id
Combo Star Kebab Pulled Pork_,1,4/10/2026,starkebab_portmall
cu Sos BBQ,2,4/10/2026,starkebab_portmall
Cartofi pai,5,4/10/2026,starkebab_portmall
Salată Caesar Pui,1,4/10/2026,starkebab_portmall
Plăcintă cu cartofi,5,4/10/2026,starkebab_portmall
Baiețel,5,4/10/2026,starkebab_portmall
Roll Caesar ,1,4/10/2026,starkebab_portmall
Roll Fitness,6,4/10/2026,starkebab_portmall
Star Kebab Pui Mare,6,4/10/2026,starkebab_portmall
cu ardei,11,4/10/2026,starkebab_portmall
Hot dog Pulled Pork,1,4/10/2026,starkebab_portmall
Cartof copt cu pui*,1,4/10/2026,starkebab_portmall
Sos Alb,2,4/10/2026,starkebab_portmall
Hot dog classic  personal,9,4/10/2026,starkebab_portmall
Star Kebab Pui,29,4/10/2026,starkebab_portmall
Hot dog classic,2,4/10/2026,starkebab_portmall
puțin ardei,1,4/10/2026,starkebab_portmall
Sos Ketchup,4,4/10/2026,starkebab_portmall
Cartof copt,1,4/10/2026,starkebab_portmall
cu Cheese StarKebab,1,4/10/2026,starkebab_portmall
Star Kebab Vânătoresc,1,4/10/2026,starkebab_portmall
cu Star Kebab Pui,5,4/10/2026,starkebab_portmall
cu Star Kebab Pulled Pork,1,4/10/2026,starkebab_portmall
Star Sticks,5,4/10/2026,starkebab_portmall
cu TOPPING Morcov Picant,1,4/10/2026,starkebab_portmall
cu TOPPING Masline,1,4/10/2026,starkebab_portmall
Star Kebab Pulled Pork Mare,4,4/10/2026,starkebab_portmall
Pachet kebab livrare,5,4/10/2026,starkebab_portmall
Plăcintă cu brânză și verdeață,5,4/10/2026,starkebab_portmall
cu Sos Alb,4,4/10/2026,starkebab_portmall
cu semințe,1,4/10/2026,starkebab_portmall
cu Cartofi pai,8,4/10/2026,starkebab_portmall
Pui crocant,2,4/10/2026,starkebab_portmall
Combo Star Kebab,7,4/10/2026,starkebab_portmall
Star Kebab Pulled Pork *,1,4/10/2026,starkebab_portmall
Star Kebab pui personal,2,4/10/2026,starkebab_portmall
Kids Box cu roll,6,4/10/2026,starkebab_portmall
Cheese StarKebab,2,4/10/2026,starkebab_portmall
Roll cu Pui Crocant,5,4/10/2026,starkebab_portmall
Star Kebab Veggie,1,4/10/2026,starkebab_portmall
Topping Ceapă roșie,1,4/10/2026,starkebab_portmall
Sos Alb,3,4/10/2026,starkebab_portmall
Salată Caesar Creveți,1,4/10/2026,starkebab_portmall
Star Kebab Pulled Pork,6,4/10/2026,starkebab_portmall
cu Sos Sweet Chilli,1,4/10/2026,starkebab_portmall
cu TOPPING Cașcaval,7,4/10/2026,starkebab_portmall
cu Sos Tzatziki,1,4/10/2026,starkebab_portmall
Creveți cu sos (6 buc),1,4/10/2026,starkebab_portmall
Aripioare BBQ,1,4/10/2026,starkebab_portmall
Fetiță,1,4/10/2026,starkebab_portmall
Pită Grecească,2,4/10/2026,starkebab_portmall
Sos BBQ,1,4/10/2026,starkebab_portmall
fără cartofi,1,4/9/2026,starkebab_portmall
Pachet wrap livrare,3,4/9/2026,starkebab_portmall
cu TOPPING Masline,1,4/9/2026,starkebab_portmall
Roll cu Creveți,2,4/9/2026,starkebab_portmall
Pită Grecească,3,4/9/2026,starkebab_portmall
Pită Vegetariană,2,4/9/2026,starkebab_portmall
cu TOPPING Cașcaval,16,4/9/2026,starkebab_portmall
Combo Star Kebab,4,4/9/2026,starkebab_portmall
cu Cartofi pai,4,4/9/2026,starkebab_portmall
Plăcintă cu cartofi,6,4/9/2026,starkebab_portmall
Star Sticks,2,4/9/2026,starkebab_portmall
Cartof copt cu pui,3,4/9/2026,starkebab_portmall
cu Sos Sweet Chilli,1,4/9/2026,starkebab_portmall
Cartofi pai,4,4/9/2026,starkebab_portmall
Aripioare BBQ,1,4/9/2026,starkebab_portmall
Star Kebab Pui Mare,11,4/9/2026,starkebab_portmall
Gozleme cu carne de pui,1,4/9/2026,starkebab_portmall
Star Kebab Veggie,10,4/9/2026,starkebab_portmall
cu Sos Alb,3,4/9/2026,starkebab_portmall
Plăcintă cu brânză și verdeață,4,4/9/2026,starkebab_portmall
Nuggets,1,4/9/2026,starkebab_portmall
Kids Box cu roll,1,4/9/2026,starkebab_portmall
Cheese StarKebab,3,4/9/2026,starkebab_portmall
Star Kebab Pui,24,4/9/2026,starkebab_portmall
